ticket_id,project_id,title,description,status,priority,assigned_to_employee_id,customer_id,created_at,closed_at
1,6,Customer-facing API failure in client environment [Carpenter],Issue reported: Customer-facing API failure in client environment. Customer Carpenter Garcia This is causing data inconsistency. Action required: coordinate with customer and coordinate with customer. First observed: 2023-03-26 | Frequency: sporadic,In Progress,Medium,11,26,2023-03-19,
2,10,Data export causing crash [MonitorHub],Issue reported: Data export causing crash. This is affecting multiple users. Action required: escalate to engineering and implement workaround. First observed: 2023-08-10 | Environment: multi-region,In Progress,Medium,22,,2022-10-24,
3,5,Report generation causing error [DataPipeline],Issue reported: Report generation causing error. Customer Taylor Group This is preventing access. Action required: implement workaround and implement workaround. Frequency: increasing | First observed: 2024-08-08,Resolved,High,16,10,2022-10-25,2023-12-01
4,12,Report generation causing bug [Internal],Issue reported: Report generation causing bug. This is impacting SLA. Action required: investigate root cause and implement workaround. Environment: pre-prod | First observed: 2024-08-26,Resolved,High,12,,2024-12-22,2023-04-27
5,3,Login attempt causing crash [Davies],Issue reported: Login attempt causing crash. Customer Davies Johnson This is causing data inconsistency. Action required: coordinate with customer and implement workaround. Impact: medium | Frequency: increasing,In Progress,High,14,22,2023-12-05,
6,12,Request: Custom dashboard for production [Internal],Issue reported: Request: Custom dashboard for production. This is causing data inconsistency. Action required: investigate root cause and apply hotfix. First observed: 2024-05-31 | Frequency: increasing,In Progress,Medium,13,,2022-09-22,
7,2,Customer-facing Authentication timeout in staging [Smith],Issue reported: Customer-facing Authentication timeout in staging. Customer Smith Miller and Huynh This is causing data inconsistency. Action required: implement workaround and investigate root cause. Frequency: sporadic | Impact: critical,Resolved,Medium,13,20,2022-03-04,2023-07-29
8,10,Request: Bulk import for production [MonitorHub],Issue reported: Request: Bulk import for production. Customer Smith Gibbs and Martin This is blocking deployment. Action required: investigate root cause and implement workaround. Environment: pre-prod | Frequency: increasing,In Progress,Medium,23,31,2024-03-19,
9,3,Unable to export data - resource exhausted [Davies],Issue reported: Unable to export data - resource exhausted. Customer Davies Johnson This is causing data inconsistency. Action required: escalate to engineering and implement workaround. First observed: 2024-04-11 | Environment: multi-region,Resolved,Medium,3,22,2022-02-26,2024-08-08
10,12,Database high latency [Internal],Issue reported: Database high latency. This is impacting SLA. Action required: coordinate with customer and implement workaround. Frequency: increasing | Impact: high,Resolved,Medium,11,,2022-03-15,2024-04-25
11,11,Customer-facing Authentication crash in development [Internal],Issue reported: Customer-facing Authentication crash in development. This is preventing access. Action required: escalate to engineering and investigate root cause. Frequency: intermittent | First observed: 2024-10-06,Pending,Medium,4,,2023-12-05,
12,9,Critical Database crash in user workflow [Pilot],Issue reported: Critical Database crash in user workflow. Customer Newman Green and Fletcher This is affecting multiple users. Action required: apply hotfix and investigate root cause. Environment: staging | Frequency: sporadic,In Progress,Critical,14,1,2022-07-15,
13,9,High priority Integration bug in production [Pilot],Issue reported: High priority Integration bug in production. Customer Newman Green and Fletcher This is blocking deployment. Action required: escalate to engineering and escalate to engineering. Environment: pre-prod | Frequency: consistent,Open,Medium,15,1,2022-03-24,
14,1,Request: Custom dashboard for user workflow [Internal],Issue reported: Request: Custom dashboard for user workflow. This is impacting SLA. Action required: coordinate with customer and coordinate with customer. Frequency: increasing | Environment: pre-prod,Resolved,Low,14,,2023-07-19,2025-10-17
15,5,Request: API access for development [DataPipeline],Issue reported: Request: API access for development. Customer Taylor Group This is impacting SLA. Action required: apply hotfix and escalate to engineering. Frequency: intermittent | Environment: pre-prod,Resolved,Medium,12,10,2024-09-20,2023-06-08
16,9,Report generation causing malfunction [Pilot],Issue reported: Report generation causing malfunction. This is impacting SLA. Action required: investigate root cause and apply hotfix. First observed: 2024-06-14 | Environment: production,In Progress,Medium,11,,2022-09-19,
17,3,Unable to load module - permission denied [Davies],Issue reported: Unable to load module - permission denied. This is blocking deployment. Action required: implement workaround and coordinate with customer. Environment: pre-prod | Frequency: intermittent,Resolved,Low,3,,2024-10-20,2024-01-25
18,1,Sync process causing failure [Internal],Issue reported: Sync process causing failure. This is impacting SLA. Action required: coordinate with customer and investigate root cause. Environment: production | Impact: user-facing,In Progress,Medium,15,,2023-09-12,
19,6,Critical Dashboard crash in client environment [Carpenter],Issue reported: Critical Dashboard crash in client environment. Customer Carpenter Garcia This is causing data inconsistency. Action required: investigate root cause and escalate to engineering. Frequency: consistent | First observed: 2024-05-06,In Progress,High,2,26,2024-12-15,
20,6,Unable to complete sync - resource exhausted [Carpenter],Issue reported: Unable to complete sync - resource exhausted. Customer Carpenter Garcia This is impacting SLA. Action required: investigate root cause and investigate root cause. Impact: critical | Environment: staging,In Progress,Medium,7,26,2023-06-20,
21,6,Login attempt causing problem [Carpenter],Issue reported: Login attempt causing problem. Customer Carpenter Garcia This is affecting multiple users. Action required: apply hotfix and apply hotfix. Frequency: consistent | Environment: multi-region,In Progress,High,8,26,2023-01-08,
22,4,Critical Dashboard problem in data pipeline [POC],Issue reported: Critical Dashboard problem in data pipeline. Customer Rich Spencer This is impacting SLA. Action required: apply hotfix and coordinate with customer. First observed: 2024-07-25 | Environment: multi-region,Resolved,Medium,8,4,2024-09-01,2024-10-26
23,1,Report generation causing timeout [Internal],Issue reported: Report generation causing timeout. This is impacting SLA. Action required: investigate root cause and investigate root cause. Frequency: consistent | Impact: high,Closed,Low,7,,2022-03-03,2025-09-06
24,1,Request: Bulk import for development [Internal],Issue reported: Request: Bulk import for development. This is preventing access. Action required: coordinate with customer and escalate to engineering. First observed: 2024-12-26 | Impact: critical,Resolved,High,8,,2022-12-15,2024-05-14
25,5,Production Authentication crash in staging [DataPipeline],Issue reported: Production Authentication crash in staging. This is impacting SLA. Action required: escalate to engineering and apply hotfix. Frequency: consistent | First observed: 2024-12-09,In Progress,Medium,24,,2023-07-18,
26,3,Urgent Service failure in client environment [Davies],Issue reported: Urgent Service failure in client environment. Customer Davies Johnson This is preventing access. Action required: escalate to engineering and implement workaround. Impact: medium | First observed: 2023-09-23,In Progress,High,4,22,2024-04-06,
27,3,Critical Service error in user workflow [Davies],Issue reported: Critical Service error in user workflow. This is impacting SLA. Action required: implement workaround and investigate root cause. Impact: user-facing | Environment: multi-region,Resolved,Low,24,,2024-06-29,2024-04-08
28,10,Unable to generate report - resource exhausted [MonitorHub],Issue reported: Unable to generate report - resource exhausted. Customer Smith Gibbs and Martin This is preventing access. Action required: coordinate with customer and investigate root cause. Frequency: consistent | Impact: critical,In Progress,High,10,31,2023-11-30,
29,5,UI performance degradation [DataPipeline],Issue reported: UI performance degradation. Customer Taylor Group This is affecting multiple users. Action required: implement workaround and implement workaround. Environment: multi-region | First observed: 2024-03-24,In Progress,High,7,10,2022-09-14,
30,3,Request: API access for user workflow [Davies],Issue reported: Request: API access for user workflow. This is causing data inconsistency. Action required: escalate to engineering and implement workaround. Impact: medium | First observed: 2023-10-15,Open,Medium,19,,2023-10-03,
31,3,Unable to generate report - permission denied [Davies],Issue reported: Unable to generate report - permission denied. Customer Davies Johnson This is impacting SLA. Action required: coordinate with customer and investigate root cause. Environment: production | Frequency: consistent,Resolved,Low,18,22,2023-05-05,2024-10-03
32,3,Unable to complete sync - timeout error [Davies],Issue reported: Unable to complete sync - timeout error. Customer Davies Johnson This is causing data inconsistency. Action required: coordinate with customer and apply hotfix. Frequency: intermittent | Impact: high,In Progress,Medium,8,22,2022-07-04,
33,3,Sync process causing timeout [Davies],Issue reported: Sync process causing timeout. Customer Davies Johnson This is blocking deployment. Action required: implement workaround and escalate to engineering. First observed: 2023-11-25 | Environment: production,Closed,Medium,7,22,2024-12-11,2025-12-09
34,5,Unable to generate report - connection refused [DataPipeline],Issue reported: Unable to generate report - connection refused. Customer Taylor Group This is preventing access. Action required: apply hotfix and investigate root cause. First observed: 2023-02-12 | Frequency: increasing,Pending,Low,14,10,2023-10-19,
35,3,Request: Enhanced logging for staging [Davies],Issue reported: Request: Enhanced logging for staging. Customer Davies Johnson This is affecting multiple users. Action required: implement workaround and implement workaround. Frequency: intermittent | Impact: medium,Open,Medium,7,22,2023-08-05,
36,2,Request: API access for data pipeline [Smith],Issue reported: Request: API access for data pipeline. Customer Smith Miller and Huynh This is causing data inconsistency. Action required: coordinate with customer and implement workaround. Environment: production | Frequency: increasing,In Progress,Low,22,20,2022-10-21,
37,9,Request: Enhanced logging for production [Pilot],Issue reported: Request: Enhanced logging for production. Customer Newman Green and Fletcher This is impacting SLA. Action required: apply hotfix and implement workaround. First observed: 2024-05-26 | Impact: high,Resolved,High,23,1,2024-05-12,2024-09-12
38,3,Request: Audit trail for user workflow [Davies],Issue reported: Request: Audit trail for user workflow. Customer Davies Johnson This is preventing access. Action required: apply hotfix and escalate to engineering. Environment: staging | Impact: high,In Progress,Medium,12,22,2022-01-24,
39,2,Request: Audit trail for production [Smith],Issue reported: Request: Audit trail for production. Customer Smith Miller and Huynh This is impacting SLA. Action required: escalate to engineering and investigate root cause. Environment: production | Frequency: intermittent,Pending,Medium,10,20,2023-03-28,
40,6,Request: Enhanced logging for data pipeline [Carpenter],Issue reported: Request: Enhanced logging for data pipeline. Customer Carpenter Garcia This is affecting multiple users. Action required: escalate to engineering and coordinate with customer. Frequency: sporadic | First observed: 2024-10-03,Resolved,Medium,15,26,2024-12-30,2024-12-26
41,10,Critical Pipeline problem in client environment [MonitorHub],Issue reported: Critical Pipeline problem in client environment. Customer Smith Gibbs and Martin This is blocking deployment. Action required: apply hotfix and implement workaround. Impact: medium | Environment: staging,Resolved,High,23,31,2024-10-07,2024-09-08
42,11,Batch job causing problem [Internal],Issue reported: Batch job causing problem. This is causing data inconsistency. Action required: investigate root cause and apply hotfix. Frequency: sporadic | Impact: high,In Progress,Low,12,,2024-02-19,
43,11,Production Service problem in development [Internal],Issue reported: Production Service problem in development. This is preventing access. Action required: coordinate with customer and coordinate with customer. Impact: critical | First observed: 2023-11-17,In Progress,Critical,7,,2022-01-07,
44,3,Unable to load module - null pointer [Davies],Issue reported: Unable to load module - null pointer. This is causing data inconsistency. Action required: apply hotfix and investigate root cause. Impact: user-facing | First observed: 2024-10-03,Resolved,High,7,,2023-07-09,2024-06-13
45,2,Request: Bulk import for data pipeline [Smith],Issue reported: Request: Bulk import for data pipeline. Customer Smith Miller and Huynh This is blocking deployment. Action required: coordinate with customer and escalate to engineering. Frequency: increasing | Impact: medium,Pending,Critical,21,20,2022-09-18,
46,7,Sync process causing issue [SecureGate],Issue reported: Sync process causing issue. Customer Jordan Ltd This is affecting multiple users. Action required: investigate root cause and apply hotfix. Impact: high | Frequency: intermittent,Open,Low,11,6,2022-08-27,
47,2,API memory leak [Smith],Issue reported: API memory leak. Customer Smith Miller and Huynh This is affecting multiple users. Action required: apply hotfix and investigate root cause. Impact: critical | Frequency: consistent,Open,Critical,16,20,2022-08-07,
48,3,Sync process causing malfunction [Davies],Issue reported: Sync process causing malfunction. Customer Davies Johnson This is causing data inconsistency. Action required: investigate root cause and escalate to engineering. Environment: pre-prod | First observed: 2024-04-19,Pending,High,2,22,2024-10-04,
49,11,Request: Audit trail for user workflow [Internal],Issue reported: Request: Audit trail for user workflow. This is causing data inconsistency. Action required: investigate root cause and escalate to engineering. First observed: 2023-04-12 | Frequency: increasing,Open,Low,16,,2023-12-24,
50,12,Batch job causing error [Internal],Issue reported: Batch job causing error. This is affecting multiple users. Action required: investigate root cause and implement workaround. Impact: high | First observed: 2024-06-09,Resolved,High,12,,2022-04-26,2023-09-19
51,2,Request: API access for user workflow [Smith],Issue reported: Request: API access for user workflow. Customer Smith Miller and Huynh This is preventing access. Action required: coordinate with customer and implement workaround. Impact: high | Frequency: intermittent,Open,High,11,20,2022-11-13,
52,3,Unable to load module - permission denied [Davies],Issue reported: Unable to load module - permission denied. Customer Davies Johnson This is causing data inconsistency. Action required: investigate root cause and apply hotfix. Frequency: consistent | First observed: 2023-11-22,Resolved,Critical,21,22,2024-03-01,2024-08-16
53,3,Unable to access dashboard - permission denied [Davies],Issue reported: Unable to access dashboard - permission denied. This is blocking deployment. Action required: escalate to engineering and investigate root cause. Impact: high | First observed: 2023-01-03,Open,Medium,4,,2023-07-31,
54,8,Pipeline bottleneck detected [Rhodes],Issue reported: Pipeline bottleneck detected. Customer Rhodes Burke and Love This is blocking deployment. Action required: coordinate with customer and implement workaround. Impact: user-facing | Environment: production,In Progress,Medium,15,9,2022-06-22,
55,8,Production Service issue in user workflow [Rhodes],Issue reported: Production Service issue in user workflow. Customer Rhodes Burke and Love This is causing data inconsistency. Action required: apply hotfix and escalate to engineering. First observed: 2024-08-01 | Environment: multi-region,Open,High,19,9,2022-11-05,
56,9,Login attempt causing problem [Pilot],Issue reported: Login attempt causing problem. Customer Newman Green and Fletcher This is causing data inconsistency. Action required: coordinate with customer and apply hotfix. Environment: production | First observed: 2023-11-01,In Progress,Medium,8,1,2024-04-22,
57,2,Critical UI failure in production [Smith],Issue reported: Critical UI failure in production. Customer Smith Miller and Huynh This is causing data inconsistency. Action required: implement workaround and coordinate with customer. First observed: 2023-07-17 | Frequency: consistent,Resolved,Critical,5,20,2023-08-28,2023-11-28
58,3,Data export causing problem [Davies],Issue reported: Data export causing problem. Customer Davies Johnson This is preventing access. Action required: implement workaround and implement workaround. Impact: critical | Environment: staging,In Progress,Medium,20,22,2023-03-26,
59,5,UI bottleneck detected [DataPipeline],Issue reported: UI bottleneck detected. Customer Taylor Group This is affecting multiple users. Action required: investigate root cause and coordinate with customer. Frequency: sporadic | First observed: 2024-10-18,Open,Medium,19,10,2022-04-16,
60,12,Report generation causing issue [Internal],Issue reported: Report generation causing issue. This is affecting multiple users. Action required: escalate to engineering and implement workaround. Impact: medium | Environment: production,Open,High,7,,2023-11-20,
61,10,Unable to complete sync - timeout error [MonitorHub],Issue reported: Unable to complete sync - timeout error. Customer Smith Gibbs and Martin This is affecting multiple users. Action required: escalate to engineering and coordinate with customer. Environment: pre-prod | Frequency: consistent,In Progress,Medium,3,31,2022-09-25,
62,5,Unable to complete sync - timeout error [DataPipeline],Issue reported: Unable to complete sync - timeout error. Customer Taylor Group This is affecting multiple users. Action required: implement workaround and escalate to engineering. First observed: 2023-12-09 | Environment: production,Open,High,21,10,2023-08-24,
63,8,Request: API access for staging [Rhodes],Issue reported: Request: API access for staging. Customer Rhodes Burke and Love This is causing data inconsistency. Action required: coordinate with customer and escalate to engineering. First observed: 2023-08-02 | Impact: medium,Pending,Low,5,9,2023-03-08,
64,6,Customer-facing Module problem in user workflow [Carpenter],Issue reported: Customer-facing Module problem in user workflow. Customer Carpenter Garcia This is impacting SLA. Action required: coordinate with customer and apply hotfix. Impact: medium | Environment: production,Resolved,Medium,2,26,2024-05-24,2023-12-29
65,4,Batch job causing bug [POC],Issue reported: Batch job causing bug. Customer Rich Spencer This is affecting multiple users. Action required: escalate to engineering and implement workaround. First observed: 2023-08-22 | Frequency: consistent,Open,High,2,4,2022-09-27,
66,12,Integration high latency [Internal],Issue reported: Integration high latency. This is affecting multiple users. Action required: investigate root cause and apply hotfix. Environment: production | First observed: 2024-03-20,In Progress,Low,16,,2024-04-06,
67,8,Batch job causing issue [Rhodes],Issue reported: Batch job causing issue. Customer Rhodes Burke and Love This is affecting multiple users. Action required: apply hotfix and coordinate with customer. Environment: pre-prod | First observed: 2023-03-09,Resolved,Medium,6,9,2024-08-31,2025-05-24
68,11,Urgent Integration timeout in client environment [Internal],Issue reported: Urgent Integration timeout in client environment. This is affecting multiple users. Action required: investigate root cause and escalate to engineering. Impact: critical | Environment: multi-region,Closed,Medium,22,,2023-07-05,2025-06-22
69,9,Backend running slow [Pilot],Issue reported: Backend running slow. This is affecting multiple users. Action required: coordinate with customer and implement workaround. Impact: medium | Frequency: sporadic,In Progress,Medium,22,,2022-09-05,
70,5,Data export causing error [DataPipeline],Issue reported: Data export causing error. This is impacting SLA. Action required: coordinate with customer and investigate root cause. Environment: multi-region | First observed: 2024-08-30,In Progress,Medium,22,,2024-12-04,
71,2,Unable to export data - permission denied [Smith],Issue reported: Unable to export data - permission denied. This is causing data inconsistency. Action required: implement workaround and investigate root cause. Frequency: increasing | Environment: staging,Open,Medium,20,,2023-08-26,
72,10,Authentication memory leak [MonitorHub],Issue reported: Authentication memory leak. This is impacting SLA. Action required: apply hotfix and investigate root cause. Environment: multi-region | Impact: critical,Resolved,Low,12,,2023-05-01,2023-04-26
73,6,Module memory leak [Carpenter],Issue reported: Module memory leak. Customer Carpenter Garcia This is affecting multiple users. Action required: apply hotfix and implement workaround. Frequency: consistent | Environment: production,Resolved,Low,19,26,2024-03-13,2023-06-24
74,1,Production Database timeout in user workflow [Internal],Issue reported: Production Database timeout in user workflow. This is affecting multiple users. Action required: escalate to engineering and coordinate with customer. Environment: multi-region | Impact: medium,In Progress,Medium,10,,2023-01-26,
75,8,Unable to access dashboard - permission denied [Rhodes],Issue reported: Unable to access dashboard - permission denied. Customer Rhodes Burke and Love This is causing data inconsistency. Action required: apply hotfix and implement workaround. Frequency: sporadic | Environment: production,In Progress,High,22,9,2023-10-16,
76,6,Report generation causing bug [Carpenter],Issue reported: Report generation causing bug. Customer Carpenter Garcia This is impacting SLA. Action required: coordinate with customer and coordinate with customer. Frequency: sporadic | First observed: 2023-07-03,Open,Critical,5,26,2023-03-20,
77,6,High priority Dashboard malfunction in data pipeline [Carpenter],Issue reported: High priority Dashboard malfunction in data pipeline. Customer Carpenter Garcia This is causing data inconsistency. Action required: apply hotfix and coordinate with customer. Impact: high | Environment: pre-prod,Resolved,Low,16,26,2024-08-29,2023-02-18
78,2,API bottleneck detected [Smith],Issue reported: API bottleneck detected. Customer Smith Miller and Huynh This is causing data inconsistency. Action required: apply hotfix and investigate root cause. Environment: staging | Frequency: consistent,In Progress,High,6,20,2022-12-05,
79,7,Urgent Backend crash in user workflow [SecureGate],Issue reported: Urgent Backend crash in user workflow. Customer Jordan Ltd This is causing data inconsistency. Action required: coordinate with customer and escalate to engineering. First observed: 2024-10-28 | Impact: user-facing,In Progress,Low,6,6,2024-11-11,
80,8,Pipeline bottleneck detected [Rhodes],Issue reported: Pipeline bottleneck detected. Customer Rhodes Burke and Love This is affecting multiple users. Action required: escalate to engineering and investigate root cause. Environment: staging | First observed: 2024-11-11,Open,High,23,9,2024-11-25,
81,12,Database high latency [Internal],Issue reported: Database high latency. This is preventing access. Action required: apply hotfix and implement workaround. Impact: user-facing | Environment: production,In Progress,Low,21,,2023-09-18,
82,9,Customer-facing API malfunction in user workflow [Pilot],Issue reported: Customer-facing API malfunction in user workflow. Customer Newman Green and Fletcher This is impacting SLA. Action required: implement workaround and apply hotfix. Environment: staging | Impact: user-facing,Closed,Medium,15,1,2023-04-01,2024-06-30
83,4,High priority API timeout in production [POC],Issue reported: High priority API timeout in production. Customer Rich Spencer This is blocking deployment. Action required: investigate root cause and implement workaround. First observed: 2023-06-11 | Frequency: intermittent,Resolved,High,20,4,2024-11-16,2023-10-18
84,11,Request: Enhanced logging for staging [Internal],Issue reported: Request: Enhanced logging for staging. This is blocking deployment. Action required: investigate root cause and implement workaround. Impact: medium | Environment: staging,In Progress,Low,11,,2023-08-20,
85,3,Request: Bulk import for production [Davies],Issue reported: Request: Bulk import for production. Customer Davies Johnson This is causing data inconsistency. Action required: escalate to engineering and implement workaround. Frequency: intermittent | Impact: user-facing,Pending,Low,1,22,2024-07-17,
86,4,Request: Enhanced logging for staging [POC],Issue reported: Request: Enhanced logging for staging. Customer Rich Spencer This is causing data inconsistency. Action required: escalate to engineering and coordinate with customer. Impact: critical | Frequency: intermittent,In Progress,Medium,19,4,2022-06-30,
87,2,Customer-facing UI malfunction in staging [Smith],Issue reported: Customer-facing UI malfunction in staging. Customer Smith Miller and Huynh This is blocking deployment. Action required: implement workaround and coordinate with customer. Frequency: intermittent | Impact: medium,In Progress,Low,18,20,2024-02-16,
88,6,Critical Backend problem in production [Carpenter],Issue reported: Critical Backend problem in production. Customer Carpenter Garcia This is preventing access. Action required: investigate root cause and coordinate with customer. Impact: user-facing | Environment: staging,In Progress,Medium,24,26,2023-07-16,
89,8,Request: API access for client environment [Rhodes],Issue reported: Request: API access for client environment. This is affecting multiple users. Action required: investigate root cause and escalate to engineering. Frequency: sporadic | Impact: critical,In Progress,Low,14,,2024-02-05,
